景区,评论数,情感得分均值,评分均值,正面占比,负面占比,风景_得分,服务_得分,餐饮_得分,住宿_得分,交通_得分
上海东方明珠,2998,0.8938299220384023,4.684789859906604,89.32621747831888,8.505670446964643,0.4429619746497665,0.04380698243273293,0.17734044918834777,0.03480097843006448,0.08083166555481432
云南石林风景区,2996,0.8279660055519968,4.591455273698265,83.11081441922563,11.849132176234981,0.5004450378282154,0.13362260792167333,0.040720961281708934,0.03293279928793947,0.22841566533155316
北京故宫博物院,3000,0.9674079673226712,4.918,96.76666666666667,2.3666666666666667,0.18766666666666668,0.428,0.023777777777777776,0.024333333333333332,0.09744444444444444
新疆赛里木湖,2999,0.844661677895875,4.778592864288096,84.594864954985,11.50383461153718,0.7164610425697454,0.04034678226075358,0.045015005001667226,0.0800266755585195,0.26408802934311437
湖南常德卡乐星球欢乐世界,624,0.7736795567971025,4.519230769230769,77.08333333333334,17.147435897435898,0.21367521367521364,0.05929487179487179,0.03525641025641025,0.05502136752136751,0.06517094017094016
湖南常德桃花源,2416,0.8643445352763627,4.738824503311259,89.15562913907284,6.58112582781457,0.5158664459161149,0.032560706401766,0.06939845474613685,0.07312362030905077,0.09726821192052978
湖南常德野生动物世界,1580,0.8262385882479186,4.501898734177215,82.9746835443038,11.89873417721519,0.16223628691983122,0.03713080168776371,0.040295358649789025,0.03755274261603375,0.18860759493670887
湖南张家界国家森林公园,2999,0.7580244076806408,4.4398132710903635,74.75825275091698,21.50716905635212,0.6394353673446704,0.05879737690341224,0.052906524397021225,0.06146493275536289,0.2792041791708347
湖南长沙橘子洲景区,2997,0.8172941233962688,4.538538538538538,81.41474808141474,13.613613613613614,0.35613391168946723,0.07863418974530084,0.024913802691580465,0.03425647870092314,0.17628739850962072
重庆武隆天生三桥,2998,0.7925332134054194,4.620080053368913,79.6197464976651,17.211474316210808,0.5658216588837003,0.1012897487213698,0.05370246831220814,0.05959528574605292,0.2292639537469424
