日期,预测得分,下限,上限,预警
2026-04-23,0.5468068449969941,0.34157875484804706,0.752034935145941,False
2026-04-24,0.46861759573444123,0.26338950558549423,0.6738456858833882,False
2026-04-25,0.565397355824987,0.36016926567603996,0.7706254459739339,False
2026-04-26,0.6731841320157923,0.4679560418668453,0.8784122221647392,False
2026-04-27,0.45681011687568523,0.25158202672673824,0.6620382070246322,False
2026-04-28,0.4568121385087459,0.2515840483597989,0.662040228657693,False
2026-04-29,0.6801023248527198,0.4748742347037728,0.8853304150016668,False
2026-04-30,0.5801425250803414,0.37491443493139437,0.7853706152292883,False
2026-05-01,0.4278334278539579,0.2226053377050109,0.6330615180029049,True
2026-05-02,0.552452163735292,0.34722407358634505,0.7576802538842391,False
2026-05-03,0.42857922999124604,0.22335113984229904,0.633807320140193,True
2026-05-04,0.4282945301030677,0.22306643995412073,0.6335226202520148,True
2026-05-05,0.5154374997424847,0.31020940959353765,0.7206655898914316,False
2026-05-06,0.2500477164950279,0.04481962634608089,0.4552758066439749,True
2026-05-07,0.2732420713552193,0.06801398120627228,0.47847016150416627,True
2026-05-08,0.41640470936910884,0.21117661922016184,0.6216327995180558,True
2026-05-09,0.36092618893173456,0.15569809878278756,0.5661542790806815,True
2026-05-10,0.5243384547552832,0.3191103646063362,0.7295665449042301,False
2026-05-11,0.373831798716437,0.16860370856749002,0.579059888865384,True
2026-05-12,0.3117363920123274,0.1065083018633804,0.5169644821612744,True
2026-05-13,0.6661184054184813,0.46089031526953433,0.8713464955674284,False
2026-05-14,0.45784164344367795,0.25261355329473095,0.663069733592625,False
2026-05-15,0.4939582375010997,0.2887301473521527,0.6991863276500467,False
2026-05-16,0.3102040172936674,0.10497592714472043,0.5154321074426145,True
2026-05-17,0.4186094506948957,0.2133813605459487,0.6238375408438427,True
2026-05-18,0.4993016855578445,0.2940735954088975,0.7045297757067914,False
2026-05-19,0.34391329861267583,0.13868520846372884,0.5491413887616228,True
2026-05-20,0.5319052988802216,0.32667720873127465,0.7371333890291687,False
2026-05-21,0.4116822680925647,0.2064541779436177,0.6169103582415116,True
2026-05-22,0.44972477610645045,0.24449668595750346,0.6549528662553974,True
